speaker,word,vowel_duration
pl02,pata,84.93655366472996
pl02,paka,98.6043541710746
pl02,pada,117.8899485031728
pl02,paga,96.65167859001755
pl02,pata,81.0311602614
pl02,paka,84.38153472688725
pl02,pada,86.21691216472271
pl02,paga,107.39065703072724
pl02,pata,73.22090252095137
pl02,paka,99.58030294232856
pl02,pada,103.48541286163028
pl02,paga,106.41424530112432
pl02,pata,70.29197854751601
pl02,paka,81.03103082562768
pl02,pada,83.33976937996113
pl02,paga,74.4058614818357
pl02,pata,64.43431366855634
pl02,paka,82.00730830544956
pl02,pada,99.40565700128444
pl02,paga,96.651356390538
pl02,pata,95.57230009457383
pl02,paka,90.79369842746132
pl02,pada,72.24444821110865
pl02,paga,90.79369842746132
pl02,pata,72.24444821110865
pl02,paka,88.84114577313085
pl02,pada,85.9123167915925
pl02,paga,83.43529183306941
pl02,pata,84.93604046441305
pl02,paka,95.67508006333014
pl02,pada,89.7695093532036
pl02,paga,106.41411966230407
pl03,paka,105.18916728112936
pl03,pada,96.65784382082164
pl03,paga,97.23000430804164
pl03,pata,84.76976645731327
pl03,paka,88.09530189247994
pl03,pada,85.38842622833442
pl03,paga,100.85734402332491
pl03,pata,87.86345307552779
pl03,paka,70.00000000000028
pl03,pada,80.43827479711751
pl03,paga,90.17754017222046
pl03,pata,79.37298018558181
pl03,paka,73.63195923736043
pl03,pada,76.3199432255135
pl03,paga,85.38832247693051
pl03,pata,98.20686376728816
pl03,paka,87.2445903568746
pl03,pada,93.43208985512774
pl03,paga,92.693845898566
pl03,pata,85.90628861674077
pl03,paka,69.99999999999318
pl03,pada,73.80537841470414
pl03,paga,95.76541164042852
pl03,pata,87.24453423559453
pl04,pata,87.8155780119183
pl04,pada,106.47594219845402
pl04,paka,86.16052114759398
pl04,paga,104.86642376516286
pl04,pata,85.59348663525412
pl04,pada,103.73250367054254
pl04,paka,81.92371560479472
pl04,paga,90.12824089408156
pl04,pata,90.69499474453836
pl04,pada,103.2261899577378
pl04,paka,77.09074553285689
pl04,paga,84.28878445018029
pl04,pata,88.99446359306751
pl04,pada,96.82398022476946
pl04,paka,84.67803548234087
pl04,paga,96.93027563321266
pl04,pata,82.75918270437899
pl04,pada,80.5813163416218
pl04,paka,69.99999999999318
pl04,paga,87.96799641660868
pl04,pata,75.43463774888437
pl04,pada,76.92707298235746
pl04,paka,55.2426748929804
pl04,paga,76.26019009092033
pl05,pata,78.88594472027455
pl05,paga,120.00000000000011
pl05,pada,128.85006560762946
pl05,paka,110.5878515844978
pl05,pata,95.36933989856068
pl05,paga,120.99970480674216
pl05,pada,124.79172321186384
pl05,paka,100.44211868271448
pl05,pata,89.2818832735216
pl05,paga,117.85737504679616
pl05,pada,119.7893808087258
pl05,paka,100.00000000000853
pl05,pata,108.19686008530029
pl05,paga,137.178161893857
pl05,pada,141.04233546832745
pl05,paka,117.85729402147638
pl05,pata,94.6722525746253
pl05,paga,129.99999999999545
pl05,pada,129.44981474490191
pl05,paka,124.61955017997184
pl05,pata,107.23073478084189
pl05,paga,138.14409976271236
pl05,pada,117.1799302352099
pl05,paka,110.12886274789936
